Title,Year,Mileage,Power,Price,Location,Image_URL
Polo,2008,"70,000 km",44 kW (59 Hp),"4.900
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/f96c70fc-06ea-4356-a396-0e03469c6b34.jpg
SEAT LEON CUPRA R,2013,"75,000 km",197 kW (264 Hp),"10.000
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/ea4036c4-e8b0-42fd-9431-d131625f50a0.jpg
Seat Leon FR 2.0 TDI 184кс | 2014 | Одлична состојба,2014,"250,000 km",135 kW (181 Hp),"10.000
 €",Кочани,//reklama5.mk/photos/big/b28178c6-8009-4ea5-80ff-316baafbb700.jpg
VW ARTEON 2.0 TDI 150-KS DSG FACELIFT,2021,"130,000 km",110 kW (148 Hp),"29.900
 €",Штип,//reklama5.mk/photos/big/f19c86c0-c238-4e6c-a409-519eeccacd57.jpg
POLO 1.2,2002,"190,000 km",47 kW (63 Hp),"2.000
 €",Прилеп,//reklama5.mk/photos/big/414f6a87-e0e5-41e1-8ba9-e91cc28cf0fc.jpg
VW ARTEON 2.0 TDI 2018 godina,2018,"170,000 km",110 kW (148 Hp),"22.555
 €",Куманово,//reklama5.mk/photos/big/7a9c8eef-2aa7-445c-ad8a-24ee2681bc9c.jpg
Ford Mustang,2012,"180,000 km",225 kW (302 Hp),"20.000
 €",Гостивар,//reklama5.mk/photos/big/effaa845-134c-4493-a572-5324fa8f850b.jpg
Fiat Grande Punto,2007,"190,000 km",44 kW (59 Hp),"3.100
 €",Прилеп,//reklama5.mk/photos/big/9e921928-3b72-459e-abed-04d30e3ff57b.jpg
MAZDA 6 2.2 SKYACTIV,2014,"140,000 km",110 kW (148 Hp),"12.150
 €",Ѓорче Петров / Скопје,//reklama5.mk/photos/big/3d0bced2-ed8e-4d74-b604-668934e98855.jpg
MERCEDES-BENZ A200. 150 KS.2019 GOD.,2019,"150,000 km",110 kW (148 Hp),"23.900
 €",Куманово,//reklama5.mk/photos/big/9062b318-f6d3-41e5-a1fb-965ba81770ae.jpg
CITROEN DS3 1.4I 2011 113.000km,2011,"110,000 km",70 kW (94 Hp),"4.950
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/0c8ef806-34fe-4cb5-9917-e910533e3ff9.jpg
VOLVO V40 D3 MOMENTUM 2.0 DIESEL 150 KS.2019 GOD.,2019,"150,000 km",110 kW (148 Hp),"16.700
 €",Куманово,//reklama5.mk/photos/big/8c890063-b15b-43b4-b94a-21844c18ce2b.jpg
Fiat Grande EVO 1.4i 6 brzini,2010,"170,000 km",77 kW (103 Hp),"3.790
 €",Карпош / Скопје,//reklama5.mk/photos/big/4dba8778-b98a-4d3f-a03e-bbe6bf539e8a.jpg
Peugeot boxer 2.2 hdi klima,2011,"250,000 km",74 kW (99 Hp),"9.900
 €",Кавадарци,//reklama5.mk/photos/big/c708ed14-53a1-43a0-8d67-11084b1d915e.jpg
CITROEN  C4 CACTUS 2019,2019,"180,000 km",73 kW (98 Hp),"10.500
 €",Аеродром / Скопје,//reklama5.mk/photos/big/25e35a51-20aa-43d4-b662-2373b86b8bd0.jpg
CITROEN C1 1.4 HDI CH NOV UVOZ CH KLIMA 5 VRATI NOVO!I,2009,"160,000 km",50 kW (67 Hp),"4.100
 €",Куманово,//reklama5.mk/photos/big/8b769787-cff2-4bd1-9d76-b760cde3902c.jpg
MAZDA 6 2.2 SKYACTIV,2014,"140,000 km",110 kW (148 Hp),"12.150
 €",Ѓорче Петров / Скопје,//reklama5.mk/photos/big/3d0bced2-ed8e-4d74-b604-668934e98855.jpg
Hyundai i20 2011 god. 1.2 benzin,2011,"130,000 km",57 kW (76 Hp),"5.000
 €",Битола,//reklama5.mk/photos/big/733639dd-1ac5-4561-95ff-e5555e1fc5d6.jpg
Skoda Octavia Vrs 2.0tdi 184ks,2014,"180,000 km",135 kW (181 Hp),"12.450
 €",Струмица,//reklama5.mk/photos/big/56f9d42d-6d4e-480c-9b90-efcd6fb922b1.jpg
